,Kernel Name,gpc__cycles_elapsed.max,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_active,lts__throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
153,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,203",3.45,8.65,6.58,6.45,8.65,2.97,2.89,1.26,1.96,0.72,0.31,0.46,0,1.21,0,0,0
154,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,803",0.02,0.16,18.49,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
155,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,321",0.05,0.14,13.06,0.14,0.05,0.04,0.04,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
156,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,794",0.02,0.16,18.53,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
157,"void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","6,469",8.46,12.51,14.34,12.51,11.11,8.46,8.33,7.44,2.38,1.98,1.93,0.79,0,3.17,0,0,0
158,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","6,091",1.72,26.52,37.14,26.52,23.56,1.72,1.58,0.74,1.47,1.26,0.42,1.05,0,0,0,0,0
159,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","13,723",32.31,61.52,33.73,35.22,61.52,32.31,32.10,30.74,9.89,5.89,11.35,5.47,0,6.74,1.68,1.68,0
160,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,064",0.03,0.38,9.78,0.28,0.38,0.03,0.03,0.02,0.01,0.02,0.01,0.03,0,0,0.03,0.03,0
161,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,004",0.02,0.16,17.87,0.16,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
162,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::AddFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","11,245",2.05,50.76,43.90,38.24,50.76,1.57,1.48,0.23,1.03,1.83,0.46,2.05,0,0,0.91,0.91,0
163,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","176,460",5.29,53.06,25.72,23.37,53.06,5.29,5.23,3.41,4.77,1.63,0.49,2.12,0,0.05,0,0,0
164,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,635",1.10,19.88,11.30,11.16,19.88,1.10,1.01,0.35,0.97,0.88,0.35,0.88,0,0,0,0,0
165,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,808",0.02,0.16,13.79,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
166,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,865",0.02,0.16,17.03,0.16,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
167,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,679",0.01,0.15,19.95,0.15,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0,0,0,0,0
168,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","4,741",6.26,3.64,5.04,3.64,1.31,6.26,5.82,5.82,2.98,2.16,0.54,0.81,0,0,0,0,0
169,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","589,021",2.66,26.32,14.75,10.14,26.32,2.66,2.66,1.86,1.96,1.05,1.69,0.59,0,0.69,0,0,0
170,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","21,706",26.23,50.60,55.43,41.66,50.60,13.17,13.12,5.99,4.13,2.66,26.23,7.69,0,4.26,15.98,15.98,0
171,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,246",40.76,60.33,36.23,23.75,60.33,40.76,40.74,40.74,19.24,13.58,4.53,4.53,0,0,0,0,0
172,volta_sgemm_32x128_tn,"82,666",64.92,62.02,69.31,25.05,61.26,51.51,51.48,19.05,64.92,32.50,0.75,19.46,0,0,0,0,0
173,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,673",1.14,5.47,12.82,5.47,0.01,1.14,1.02,0.48,0.84,0.72,0.48,0.24,0,0,0,0,0
174,volta_sgemm_32x128_nt,"928,285",90.61,60.81,61.14,39.32,30.48,60.58,60.56,9.68,90.61,38.58,0.03,26.31,0,0,0,0,0
175,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,992",1.26,22.66,12.36,12.64,22.66,1.26,1.16,0.41,1.10,1.01,0.40,1.00,0,0,0,0,0
176,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,848",1.04,18.61,10.85,10.54,18.61,1.04,0.96,0.33,0.92,0.83,0.33,0.83,0,0,0,0,0
177,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,769",0.02,0.16,14.08,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
178,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,853",0.02,0.17,17.61,0.17,0.08,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0,0,0,0,0
179,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,517",1.31,12.72,10.40,9.60,12.72,1.31,1.20,0.35,1.25,0.91,0.46,0.68,0,0,0,0,0
180,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,699",0.01,0.14,19.70,0.14,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0,0,0,0,0
181,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,671",11.87,18.99,13.67,14.33,18.99,11.65,11.19,11.87,4.07,5.42,1.36,2.03,0,0,0,0,0
182,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","21,786",26.36,50.71,55.20,41.63,50.71,13.38,13.33,6.50,4.11,2.65,26.36,7.69,0,4.24,15.91,15.91,0
183,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","3,818",4.99,3.91,6.08,3.91,0.01,4.99,4.53,4.70,1.51,2.01,0.67,0.67,0,0,0,0,0
184,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrapper_t<double, at::native::sum_functor<double, double, double>::operator ()(at::TensorIterator &)::[lambda(double, double) (instance 1)]>, unsigned int, double, (int)4>>(T3)","50,331",0.76,12.92,80.59,4.88,12.92,0.76,0.75,0.24,0.68,0.48,0.03,0.51,0,0,0.47,0.47,0
185,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,285",0.01,0.19,28.99,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
186,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,972",0.02,0.16,18.09,0.16,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
187,volta_sgemm_128x32_nn,"1,377,015",91.96,70.78,71.64,37.70,17.04,65.44,65.44,15.38,91.96,41.91,0.54,26.76,0,0,0,0,0
188,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,796",0.02,0.17,17.24,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
189,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","2,906",0.02,0.16,17.24,0.16,0.10,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
190,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,089",0.04,0.13,15.03,0.13,0.01,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0.00,0,0,0
191,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,745",1.41,19.05,10.56,10.83,19.05,1.41,1.28,0.43,1.37,1.03,0.34,1.20,0,0,0,0,0
192,"void <unnamed>::elementwise_kernel_with_index<int, at::native::linspace_cuda_out(const c10::Scalar &, const c10::Scalar &, long, at::Tensor &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)","2,387",0.03,0.19,7.22,0.19,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.00,0,0.01,0,0,0
193,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,288",0.02,0.26,15.28,0.26,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.00,0,0,0,0,0
194,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::AddFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","11,133",8.96,32.13,12.27,16.92,32.13,8.96,8.80,8.42,2.71,1.62,3.23,1.50,0,1.85,0.46,0.46,0
195,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","198,889",14.04,90.45,33.04,34.64,90.45,9.92,9.91,5.78,2.89,3.30,1.65,2.48,0,0,0,0,0
196,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 24)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)","5,935",0.24,0.09,6.35,0.09,0.07,0.24,0.22,0.23,0.05,0.08,0.07,0.03,0,0,0,0,0
197,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,609",1.17,5.64,12.64,5.64,0.01,1.17,1.04,0.49,0.86,0.74,0.49,0.25,0,0,0,0,0
198,volta_sgemm_32x32_sliced1x4_nt,"675,148",70.15,50.59,54.53,50.59,31.88,49.09,49.09,11.67,70.15,31.43,0.02,17.57,0,0,0,0,0
199,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,880",1.03,18.45,10.80,10.46,18.45,1.03,0.95,0.33,0.91,0.83,0.33,0.83,0,0,0,0,0
200,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","7,493",14.03,29.11,21.10,22.01,29.11,14.03,13.61,13.10,7.71,4.11,1.03,2.61,0,0,1.03,1.03,0
201,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,231",0.85,2.76,5.20,2.11,2.76,0.82,0.80,0.31,0.61,0.20,0.10,0.15,0,0.39,0,0,0
202,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,795",0.02,0.16,15.01,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
203,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,076",0.04,0.15,15.29,0.15,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
204,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,209",1.10,11.12,8.32,8.44,11.12,1.10,1.00,0.30,1.00,0.80,0.40,0.60,0,0,0,0,0
205,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","5,067",11.89,21.15,15.28,15.95,21.15,11.89,11.78,6.08,11.59,1.52,0.76,1.14,0,6.08,0,0,0
206,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","9,229",21.91,34.62,25.11,26.24,34.62,20.94,20.66,21.91,7.51,10.02,2.50,3.76,0,0,0,0,0
207,volta_sgemm_32x128_tn,"81,293",66.09,63.14,69.37,25.49,61.88,52.45,52.41,19.39,66.09,33.09,0.76,19.82,0,0,0,0,0
208,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","198,166",14.09,90.70,33.16,34.76,90.70,9.95,9.95,5.80,2.90,3.32,1.66,2.49,0,0,0,0,0
209,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","6,788",17.23,24.84,36.35,24.84,21.21,17.23,16.73,11.62,11.81,6.43,15.78,4.35,0,5.10,0,0,0
210,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,311",0.01,0.16,29.20,0.16,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
211,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","110,920",12.14,91.07,29.72,37.91,91.07,12.14,11.98,5.71,11.83,7.39,0.79,3.33,0,0.02,0,0,0
212,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,844",0.02,0.17,18.09,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
213,volta_sgemm_32x128_nt,"970,187",86.72,57.86,60.97,36.01,28.81,57.99,57.97,9.27,86.72,36.92,0.03,25.15,0,0,0,0,0
214,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,910",1.02,18.40,10.52,10.37,18.40,1.02,0.94,0.33,0.90,0.82,0.33,0.82,0,0,0,0,0
215,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,226",1.09,11.12,8.96,8.40,11.12,1.09,0.99,0.30,0.99,0.79,0.40,0.60,0,0,0,0,0
216,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,818",0.02,0.17,15.11,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
217,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,865",0.02,0.15,18.18,0.15,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
218,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,802",11.60,18.46,13.36,13.99,18.46,11.38,10.94,11.60,3.98,5.30,1.33,1.99,0,0,0,0,0
219,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,834",12.13,22.23,15.99,16.71,22.23,12.05,11.93,5.57,12.13,1.59,0.80,1.19,0,6.36,0,0,0
220,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,155",40.78,60.34,36.25,23.75,60.34,40.78,40.76,40.76,19.25,13.59,4.53,4.53,0,0,0,0,0
221,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","97,761",14.29,89.40,33.63,35.19,89.40,10.10,10.09,5.88,2.94,3.36,1.68,2.52,0,0,0,0,0
222,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,175",0.08,1.26,24.38,1.26,1.06,0.06,0.05,0.01,0.03,0.06,0.02,0.05,0,0,0.04,0.04,0
223,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","174,812",5.34,53.54,26.12,23.92,53.54,5.34,5.28,3.45,4.82,1.65,0.49,2.14,0,0.06,0,0,0
224,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","295,490",3.75,92.18,26.67,34.96,92.18,3.75,3.75,2.78,2.50,2.78,1.11,2.78,0,0,0,0,0
225,volta_sgemm_128x32_nn,"926,942",91.16,69.62,70.93,40.01,19.81,64.87,64.87,15.24,91.16,41.54,0.53,26.90,0,0,0,0,0
226,"void splitKreduce_kernel<float, float, float>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *)","5,112",4.44,28.07,13.44,11.36,28.07,4.44,4.29,3.13,3.20,2.63,0.25,1.13,0,0.75,0,0,0
227,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,793",0.02,0.16,18.53,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
228,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,385",0.59,5.94,6.18,4.45,5.94,0.59,0.54,0.17,0.52,0.43,0.21,0.31,0,0,0,0,0
229,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,455",1.07,10.33,7.54,7.84,10.33,1.07,0.97,0.28,1.02,0.74,0.37,0.56,0,0,0,0,0
230,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,734",0.02,0.15,18.90,0.15,0.03,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
231,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","197,837",14.12,90.90,33.21,34.81,90.90,9.97,9.96,5.81,2.91,3.32,1.66,2.49,0,0,0,0,0
